4502515488-60,Purchase Requisition Creation,20170414 00:00:00,USER 443,,
4502545262-20,Purchase Requisition Creation,20170609 00:00:00,USER 61,,
4502564331-40,Purchase Requisition Creation,20170726 00:00:00,USER 23,,
4502585688-10,Purchase Requisition Creation,20170913 00:00:00,USER 3,,
4502474682-90,Purchase Requisition Creation,20170131 00:00:00,USER 343,,
4502539663-20,Purchase Requisition Creation,20170601 00:00:00,USER 442,,
4502582904-10,Purchase Requisition Creation,20170908 00:00:00,USER 476,,
4502462682-50,Purchase Requisition Creation,20170110 00:00:00,USER 59,,
4502515633-10,Purchase Requisition Creation,20170413 00:00:00,USER 442,,
4502583291-60,Purchase Requisition Creation,20170908 00:00:00,USER 443,,
4502597701-30,Purchase Requisition Creation,20171006 00:00:00,USER 23,,
4502503097-80,Purchase Requisition Creation,20170322 00:00:00,USER 150,,
4502482017-30,Purchase Requisition Creation,20170210 00:00:00,USER 333,,
4502550820-50,Purchase Requisition Creation,20170623 00:00:00,USER 23,,
4502473522-20,Purchase Requisition Creation,20170120 00:00:00,USER 128,,
4502598746-30,Purchase Requisition Creation,20171011 00:00:00,USER 23,,
4502628281-50,Purchase Requisition Creation,20171206 00:00:00,USER 61,,
4502636069-30,Purchase Requisition Creation,20171223 00:00:00,USER 442,,
4502557581-120,Purchase Requisition Creation,20170704 00:00:00,USER 386,,
4502513893-10,Purchase Requisition Creation,20170410 00:00:00,USER 51,,
4502602715-60,Purchase Requisition Creation,20171018 00:00:00,USER 442,,
4502505500-10,Purchase Requisition Creation,20170323 00:00:00,USER 186,,
4502580620-10,Purchase Requisition Creation,20170822 00:00:00,USER 59,,
4502532164-30,Purchase Requisition Creation,20170518 00:00:00,USER 23,,
4502579610-10,Purchase Requisition Creation,20170830 00:00:00,USER 442,,
4502567679-80,Purchase Requisition Creation,20170801 00:00:00,USER 328,,
4502606702-10,Purchase Requisition Creation,20171026 00:00:00,USER 23,,
4502549007-10,Purchase Requisition Creation,20170620 00:00:00,USER 530,,
4502635989-10,Purchase Requisition Creation,20171228 00:00:00,USER 299,,
4502517433-80,Purchase Requisition Creation,20170421 00:00:00,USER 23,,
4502500775-10,Purchase Requisition Creation,20170317 00:00:00,USER 431,,
4502628189-10,Purchase Requisition Creation,20171209 00:00:00,USER 150,,
4502501633-20,Purchase Requisition Creation,20170318 00:00:00,USER 53,,
4502517800-110,Purchase Requisition Creation,20170419 00:00:00,USER 443,,
4502467640-80,Purchase Requisition Creation,20170117 00:00:00,USER 443,,
4502619857-90,Purchase Requisition Creation,20171122 00:00:00,USER 442,,
4502500141-90,Purchase Requisition Creation,20170316 00:00:00,USER 469,,
